	United Kingdom	United States of America	France	Spain	Italy	Germany	Russia	Brazil	Kingdom of the Netherlands	Denmark	Republic of Ireland	Austria	Norway	India	Argentina	Canada	Greece	Poland	Japan	Belgium	Czech Republic	Mexico	Australia	People's Republic of China	Portugal	Sweden	South Africa	-	Hungary	Cuba	Switzerland	Yugoslavia	Uruguay	Peru	Ukraine	Turkey	Finland	Colombia	Bulgaria	Nigeria	Chile	South Korea	Republic of Geneva	Romania	Egypt	United Arab Republic	Israel	Trinidad and Tobago	Senegal	Dominican Republic	statelessness	Venezuela	Guatemala	Basutoland	Dominica	Paraguay	Iceland	Iran	Mandatory Palestine	Guinea	Lithuania	New Zealand	Kenya	Sudan	Botswana	Albania	Kosovo	Estonia	Serbia	Zimbabwe	Vietnam	Jamaica	Pakistan	Ecuador	Honduras	Mali	Algeria	Mauritius	Belarus	Kuru Kingdom
IT	17.4	13.5	7.3	3.7	3.7	3.5	3.2	0.5	1.4	0.2	2.1	2.4	0.5	1.6	0.5	1.6	0.7	1.4	1.4	0.7	0.9	0.6	1.1	0.4	0.5	0.8	0.6	0.5	0.5	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
FR	15.8	13.7	10.8	3.3	3.4	3.6	3.4	0.5	1.2	0.2	1.9	2.4	0.5	1.5	0.4	1.6	0.6	1.3	1.4	0.6	0.9	0.7	1.1	0.5	0.6	0.8	0.7	0.4	0.5	0.5	0.5	0.5	0.3	0.4	0.3	0.2	0.4	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0
DE	17.5	13.7	5.3	0.5	2.3	2.1	2.1	0.3	0.5	0.2	2.5	1.0	0.1	0.6	0.1	0.7	0.2	0.5	0.6	0.3	0.6	0.2	0.5	0	0.2	0.3	0.4	0.5	0.6	0.2	0.4	0.2	0.1	0.1	0.2	0	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0	0	0	0	0.2	0	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0
CZ	17.1	13.8	6.9	3.2	3.0	3.7	3.2	0.5	1.3	0.2	2.2	2.2	0.5	1.6	0.6	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.1	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
PT	16.6	13.7	6.7	3.0	2.8	3.6	2.8	3.6	1.3	0.2	2.2	2.1	0.5	1.6	0.5	1.4	0.5	1.3	1.3	0.5	0.9	0.7	1.1	0.6	0.9	0.8	0.5	0.3	0.7	0.4	0.4	0.5	0.3	0.4	0.4	0.2	0.4	0.3	0.2	0.1	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
ZH	17.2	13.9	6.8	3.3	3.2	3.6	3.2	0.5	1.3	0.2	2.3	2.2	0.5	1.6	0.6	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.1	0.8	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0
EN-2006	17.3	13.6	5.3	0.5	2.4	2.1	2.1	0.3	0.5	0.2	2.5	1.0	0.1	0.6	0.1	0.7	0.2	0.5	0.6	0.3	0.6	0.2	0.5	0	0.2	0.3	0.4	0.5	0.5	0.2	0.4	0.1	0.1	0.1	0.2	0	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0	0	0	0	0.2	0	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0
EN-2008	17.6	13.7	6.9	3.3	3.2	3.6	3.2	0.5	1.3	0.2	2.2	2.2	0.5	1.6	0.6	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.1	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
EN-2010	17.1	13.7	6.9	3.3	3.1	3.7	3.1	0.5	1.3	0.2	2.3	2.2	0.5	1.6	0.6	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.0	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
EN-2012	17.0	14.4	6.9	3.2	3.1	3.7	3.1	0.5	1.3	0.2	2.1	2.2	0.5	1.6	0.5	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.0	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
EN-2018	17.0	14.6	6.9	3.1	3.1	3.6	3.1	0.5	1.3	0.2	2.3	2.2	0.5	1.6	0.5	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.0	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
ALL-EN	22.7	17.1	7.4	0.4	2.9	2.8	2.8	0.4	0.7	0.3	2.8	1.2	0.1	0.6	0.1	1.0	0.1	0.7	0.9	0.4	0.7	0.3	0.7	0	0.3	0.3	0.6	0.3	0.7	0.3	0.6	0.1	0.1	0.1	0.3	0	0.1	0.1	0.1	0.1	0.1	0.3	0.1	0	0	0	0	0.3	0	0.1	0.1	0	0	0	0.1	0	0.1	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0
ANY-EN	14.3	12.3	5.4	2.5	2.6	2.9	2.5	0.4	1.0	0.2	2.2	1.8	0.4	1.4	0.5	1.2	0.6	1.0	1.0	0.5	0.8	0.6	0.8	0.5	0.5	0.7	0.6	0.5	0.6	0.4	0.4	0.5	0.2	0.3	0.3	0.2	0.3	0.2	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
NOT-EN	11.5	10.1	7.0	5.6	2.8	2.4	2.3	2.2	2.1	2.0	1.6	1.6	1.5	1.1	1.0	1.0	0.9	0.8	0.8	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ONLY-NOT-EN	2.6	2.3	14.3	17.8	3.5	0.6	2.3	9.6	6.7	8.8	0	1.2	5.8	0	3.5	0.6	2.0	0	0	1.5	0	1.2	0	0.9	1.8	0	0.9	0.6	0	0.9	0.3	0	0.6	0.3	0	0.6	0	0.3	0	0.3	0.3	0.3	0.3	0	0.3	0.3	0	0	0	0	0.3	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3
ONLY-EN	33.3	0	0	0	0	33.3	0	0	0	0	33.3	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICROCANON	23.1	19.2	8.4	0.4	2.9	3.3	3.3	0.4	0.6	0.4	2.5	1.2	0.2	0.6	0	1.2	0.2	1.0	1.0	0.4	1.0	0.2	1.0	0	0.4	0.4	0.6	0.2	0.6	0.2	0.6	0.2	0.2	0	0.4	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0.4	0	0	0.2	0	0	0	0.2	0	0.2	0	0	0	0.2	0	0.2	0	0	0.2	0.2	0	0.2	0.2	0	0.2	0	0	0	0	0	0	0	0
MACROCANON	11.5	10.1	7.0	5.6	2.8	2.4	2.3	2.2	2.1	1.9	1.7	1.6	1.5	1.1	1.0	1.0	0.9	0.8	0.8	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
