X	P_MACROCANON	P_MICROCANON
1	0.0	0.0
101	0.03015075376884422	0.06262230919765166
201	0.05339195979899498	0.11741682974559686
301	0.07035175879396985	0.15851272015655576
401	0.0835427135678392	0.18786692759295498
501	0.09296482412060302	0.2054794520547945
601	0.10301507537688442	0.22700587084148727
701	0.11494974874371859	0.24853228962818003
801	0.12248743718592965	0.2583170254403131
901	0.12751256281407036	0.26614481409001955
1001	0.13630653266331658	0.28180039138943247
1101	0.14384422110552764	0.29158512720156554
1201	0.15263819095477388	0.30724070450097846
1301	0.15766331658291458	0.3131115459882583
1401	0.16331658291457288	0.32289628180039137
1501	0.16771356783919597	0.33268101761252444
1601	0.17022613065326633	0.3405088062622309
1701	0.17587939698492464	0.350293542074364
1801	0.17839195979899497	0.3542074363992172
1901	0.18216080402010051	0.36203522504892366
2001	0.1884422110552764	0.3659491193737769
2101	0.19158291457286433	0.37181996086105673
2201	0.1984924623115578	0.37573385518590996
2301	0.2028894472361809	0.3816046966731898
2401	0.20665829145728642	0.38747553816046965
2501	0.21042713567839197	0.38747553816046965
2601	0.217964824120603	0.38943248532289626
2701	0.21922110552763818	0.3913894324853229
2801	0.2236180904522613	0.3913894324853229
2901	0.22550251256281406	0.3913894324853229
3001	0.22738693467336685	0.3933463796477495
3101	0.23115577889447236	0.3953033268101761
3201	0.23366834170854273	0.3972602739726027
3301	0.23743718592964824	0.40117416829745595
3401	0.239321608040201	0.40117416829745595
3501	0.24183417085427136	0.4050880626223092
3601	0.24309045226130654	0.4050880626223092
3701	0.24309045226130654	0.4050880626223092
3801	0.24371859296482412	0.4070450097847358
3901	0.24748743718592964	0.4090019569471624
4001	0.24874371859296482	0.4090019569471624
4101	0.2518844221105528	0.410958904109589
4201	0.2556532663316583	0.41291585127201563
4301	0.25690954773869346	0.41682974559686886
4401	0.2600502512562814	0.41682974559686886
4501	0.2650753768844221	0.4227005870841487
4601	0.2663316582914573	0.4227005870841487
4701	0.26821608040201006	0.4246575342465753
4801	0.2707286432160804	0.42857142857142855
4901	0.271356783919598	0.42857142857142855
5001	0.27324120603015073	0.42857142857142855
